origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min,min_por_km
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,23:00,2026-02-27,52.61,77.3,,,1.4693024139897357
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,21:00,2026-02-27,274.62,241.2,,,0.8783045663098099
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,16:00,2026-02-27,179.23,72.5,,,0.40450817385482346
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,04:00,2026-02-27,13.14,28.3,,,2.1537290715372905
"Estación de Atocha, Madrid",Segovia,TRANSIT,08:00,2026-02-27,81.9,82.5,,,1.0073260073260073
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,17:00,2026-02-27,16.55,33.5,,,2.02416918429003
"Puerta del Sol, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,23:00,2026-02-27,22.04,55.1,,,2.5
"Puerta del Sol, Madrid","Getafe, Madrid",TRANSIT,23:00,2026-02-27,14.76,31.7,,,2.1476964769647697
"Retiro, Madrid","Getafe, Madrid",TRANSIT,08:00,2026-02-27,14.87,40.7,,,2.73705447209146
"Estación de Atocha, Madrid",Toledo,TRANSIT,13:00,2026-02-27,83.76,53.7,,,0.6411174785100286
"Estación de Atocha, Madrid",Cuenca,TRANSIT,06:00,2026-02-27,212.02,112.2,,,0.529195358928403
