origen,destino,modo_transporte,hora_salida,fecha_consulta,distancia_km,duracion_sin_trafico_min,duracion_con_trafico_min,diferencia_trafico_min
"Puerta del Sol, Madrid","Coslada, Madrid",TRANSIT,02:00,2026-02-27,16.76,41.4,,
"Estación de Atocha, Madrid",Toledo,TRANSIT,02:00,2026-02-27,68.33,95.3,,
"Estación de Atocha, Madrid",Segovia,TRANSIT,02:00,2026-02-27,81.26,81.5,,
"Estación de Atocha, Madrid",Ávila,TRANSIT,02:00,2026-02-27,128.24,124.2,,
"Estación de Atocha, Madrid",Cuenca,TRANSIT,02:00,2026-02-27,212.01,117.2,,
"Estación de Chamartín, Madrid",Valladolid,TRANSIT,02:00,2026-02-27,179.23,73.5,,
"Estación de Chamartín, Madrid",Burgos,TRANSIT,02:00,2026-02-27,303.97,121.5,,
"Estación de Chamartín, Madrid",Salamanca,TRANSIT,02:00,2026-02-27,298.92,179.6,,
"Estación de Atocha, Madrid",Córdoba,TRANSIT,02:00,2026-02-27,344.2,118.1,,
"Estación de Atocha, Madrid",Ciudad Real,TRANSIT,02:00,2026-02-27,171.32,63.0,,
"Estación de Atocha, Madrid","Barcelona Sants, Barcelona",TRANSIT,02:00,2026-02-27,625.94,209.8,,
"Estación de Atocha, Madrid","Valencia, España",TRANSIT,02:00,2026-02-27,407.01,154.2,,
"Estación de Atocha, Madrid","Sevilla, España",TRANSIT,02:00,2026-02-27,470.82,173.1,,
"Estación de Atocha, Madrid","Zaragoza, España",TRANSIT,02:00,2026-02-27,306.53,98.6,,
"Estación de Atocha, Madrid","Málaga, España",TRANSIT,02:00,2026-02-27,509.78,195.1,,
"Estación de Chamartín, Madrid","Bilbao, España",TRANSIT,02:00,2026-02-27,483.63,295.5,,
"Estación de Chamartín, Madrid","San Sebastián, España",TRANSIT,02:00,2026-02-27,549.77,338.5,,
"Alcalá de Henares, Madrid","Torrejón de Ardoz, Madrid",TRANSIT,02:00,2026-02-27,11.07,27.4,,
"Móstoles, Madrid","Alcorcón, Madrid",TRANSIT,02:00,2026-02-27,8.01,27.1,,
"Móstoles, Madrid","Leganés, Madrid",TRANSIT,02:00,2026-02-27,36.64,89.0,,
"Móstoles, Madrid","Fuenlabrada, Madrid",TRANSIT,02:00,2026-02-27,43.87,100.2,,
"Getafe, Madrid","Parla, Madrid",TRANSIT,02:00,2026-02-27,9.88,13.1,,
"Getafe, Madrid","Leganés, Madrid",TRANSIT,02:00,2026-02-27,19.5,49.3,,
"Las Rozas de Madrid, Madrid","Majadahonda, Madrid",TRANSIT,02:00,2026-02-27,3.1,45.1,,
"Tres Cantos, Madrid","Alcobendas, Madrid",TRANSIT,02:00,2026-02-27,28.61,70.7,,
"Aranjuez, Madrid","Valdemoro, Madrid",TRANSIT,02:00,2026-02-27,21.81,24.7,,
"Aranjuez, Madrid","Ocaña, Toledo",TRANSIT,02:00,2026-02-27,109.55,75.0,,
"Puerta del Sol, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,03:00,2026-02-27,15.54,48.4,,
"Puerta del Sol, Madrid","Estación de Atocha, Madrid",TRANSIT,03:00,2026-02-27,2.17,15.9,,
"Puerta del Sol, Madrid","Estación de Chamartín, Madrid",TRANSIT,03:00,2026-02-27,6.93,22.9,,
"Puerta del Sol, Madrid","Plaza de Castilla, Madrid",TRANSIT,03:00,2026-02-27,8.59,50.1,,
"Puerta del Sol, Madrid","Vallecas, Madrid",TRANSIT,03:00,2026-02-27,15.29,89.2,,
"Puerta del Sol, Madrid","Moncloa, Madrid",TRANSIT,03:00,2026-02-27,6.61,56.1,,
"Puerta del Sol, Madrid","Cuatro Caminos, Madrid",TRANSIT,03:00,2026-02-27,6.25,47.6,,
"Gran Vía, Madrid","Estadio Santiago Bernabéu, Madrid",TRANSIT,03:00,2026-02-27,4.4,24.4,,
"Gran Vía, Madrid","Estadio Cívitas Metropolitano, Madrid",TRANSIT,03:00,2026-02-27,11.01,46.4,,
"Nuevos Ministerios, Madrid","Aeropuerto Adolfo Suárez Madrid-Barajas, Madrid",TRANSIT,03:00,2026-02-27,15.99,52.4,,
"Nuevos Ministerios, Madrid","Estación de Atocha, Madrid",TRANSIT,03:00,2026-02-27,11.02,42.6,,
"Retiro, Madrid","Ciudad Universitaria, Madrid",TRANSIT,03:00,2026-02-27,11.56,57.7,,
"Retiro, Madrid","Leganés, Madrid",TRANSIT,03:00,2026-02-27,19.96,45.9,,
"Retiro, Madrid","Getafe, Madrid",TRANSIT,03:00,2026-02-27,15.87,53.8,,
"Estación de Atocha, Madrid","Alcalá de Henares, Madrid",TRANSIT,03:00,2026-02-27,33.22,43.2,,
"Estación de Atocha, Madrid","Aranjuez, Madrid",TRANSIT,03:00,2026-02-27,48.17,48.6,,
"Estación de Atocha, Madrid","Alcobendas, Madrid",TRANSIT,03:00,2026-02-27,23.79,53.6,,
"Estación de Atocha, Madrid","San Sebastián de los Reyes, Madrid",TRANSIT,03:00,2026-02-27,26.41,69.4,,
"Estación de Atocha, Madrid","Móstoles, Madrid",TRANSIT,03:00,2026-02-27,19.76,38.5,,
"Estación de Atocha, Madrid","Fuenlabrada, Madrid",TRANSIT,03:00,2026-02-27,19.74,34.4,,
"Estación de Atocha, Madrid","Parla, Madrid",TRANSIT,03:00,2026-02-27,23.17,36.2,,
"Estación de Atocha, Madrid","Pinto, Madrid",TRANSIT,03:00,2026-02-27,20.49,29.4,,
"Estación de Chamartín, Madrid","Tres Cantos, Madrid",TRANSIT,03:00,2026-02-27,16.26,24.5,,
"Estación de Chamartín, Madrid","Colmenar Viejo, Madrid",TRANSIT,03:00,2026-02-27,27.06,33.5,,
"Estación de Chamartín, Madrid","Alcobendas, Madrid",TRANSIT,03:00,2026-02-27,10.62,24.4,,
"Moncloa, Madrid","Las Rozas de Madrid, Madrid",TRANSIT,03:00,2026-02-27,22.27,86.8,,
"Moncloa, Madrid","Majadahonda, Madrid",TRANSIT,03:00,2026-02-27,26.2,120.8,,
"Moncloa, Madrid","Pozuelo de Alarcón, Madrid",TRANSIT,03:00,2026-02-27,10.52,76.7,,
"Moncloa, Madrid","Boadilla del Monte, Madrid",TRANSIT,03:00,2026-02-27,38.31,110.8,,
"Moncloa, Madrid","Villanueva de la Cañada, Madrid",TRANSIT,03:00,2026-02-27,44.35,119.8,,
"Puerta del Sol, Madrid","Alcorcón, Madrid",TRANSIT,03:00,2026-02-27,21.73,57.3,,
